197	https://namaca.ca/3-compelling-reasons-why-nonprofits-should-hire-a-professional-bookkeeping-service/	3 Compelling Reasons Why Nonprofits Should Hire a Professional Bookkeeping Service
221	https://namaca.ca/3-keys-to-small-business-success/	3 Keys to Small Business Success
191	https://namaca.ca/5-steps-to-preparing-for-a-financial-audit/	5 steps to preparing for a financial audit
210	https://namaca.ca/7-sources-of-funding-for-start-up-businesses-in-canada/	7 Sources of Funding for Start Up Businesses in Canada
235	https://namaca.ca/8-freelance-tax-deductions-you-might-not-have-considered/	8 freelance tax deductions you might not have considered
233	https://namaca.ca/best-practices-for-tracking-expenses-as-a-business/	Best Practices for Tracking Expenses as a Business
238	https://namaca.ca/bitcoins-arent-money-at-least-according-to-the-cra/	Bitcoins aren’t money, at least according to the CRA
194	https://namaca.ca/choosing-the-right-payroll-schedule-for-your-business-a-comprehensive-guide/	Choosing the Right Payroll Schedule for Your Business: A Comprehensive Guide
231	https://namaca.ca/how-the-capital-gains-tax-affects-medical-practitioners/	How the capital gains tax affects medical practitioners
200	https://namaca.ca/how-to-choose-the-right-tax-preparer-a-comprehensive-guide-for-individuals-and-businesses/	How to Choose the Right Tax Preparer: A Comprehensive Guide for Individuals and Businesses
228	https://namaca.ca/how-to-escape-the-commodity-trap/	How to Escape the Commodity Trap
212	https://namaca.ca/how-to-start-tax-planning-for-your-small-business/	How to Start Tax Planning for Your Small Business
215	https://namaca.ca/mastering-financial-management-the-key-to-business-success/	Mastering Financial Management: The Key to Business Success
208	https://namaca.ca/s-corporation-vs-single-member-llc-which-tax-structure-is-best-for-your-business/	S Corporation vs. Single-Member LLC: Which Tax Structure is Best for Your Business?
226	https://namaca.ca/three-reasons-why-its-time-to-rip-up-your-timesheets/	Three Reasons Why It’s Time to Rip up Your Timesheets
218	https://namaca.ca/top-5-reasons-to-hire-a-virtual-cfo/	Top 5 Reasons to Hire a Virtual CFO
223	https://namaca.ca/weathering-the-storm-essential-disaster-preparedness-tips-for-your-business/	Weathering the Storm: Essential Disaster Preparedness Tips for Your Business
202	https://namaca.ca/why-nonprofits-should-outsource-payroll-focus-on-your-mission-not-the-paperwork/	Why Nonprofits Should Outsource Payroll: Focus on Your Mission, Not the Paperwork
